post,new_topic,label
"We are living in an era of individuals where ego trumps everything. Today we glorify money and fame, and we allow individuals to glorify themselves and their clients, not the average pedestrian who must increasingly suffer unfriendly streets with wall-like fa̤ades protecting the elites inside, or forbidding store fronts keeping the riff raff out of luxury stores and creating bleak streets once business is over. I'm a liberal and not elitist and I am a fan of modernism and some of the modern facades. I'm not sure what the solution is, but I bet, in one hundred years or so, we will rue the day we destroyed livability and proportion and replace these monstrosities with user friendly edifices similar to the ones which were destroyed to make way for the monstrosities.",ego,0
"People make a choice to send their kids to public school private school or to home school them. I'm all for it. I'm also all for people making a decision and living by it. No public school? No public school sports, social events, etc. Part of being an adult is knowing that making choices does not include ""all I want is all there is"".",public school,1
"Shawn Taylor is the only one of these writers who addresses the real issue. The rest of these wimpy musings are proof of how far we've gotten away from understanding what guys can and should be doing in relationships, families, and the world at large. Some people have clearly given up on trying to figure it out, while others have some cartoonish notion of what a real man should be. WFD.",what a real man should be,2
"This argument is seriously flawed. What are this guy's qualifications? He's a chef, not an evolutionary biologist. Every living thing has evolved with certain traits that have enabled it to thrive. No, we may not have the speed and strength to kill a deer with our bare hands. But we have other evolutionary advantages that have enabled us to eat animals. Humans have been eating meat for millennia and our bodies have adapted to an omnivorous diet. If we weren't fit to eat animals we'd be extinct by now. Eating raw meat makes people sick because modern factory farming and slaughterhouse practices lead to contamination. It's also the modern industrial diet that has lead to our current health problems (diabetes, heart disease, etc.) If people ate the way they did a hundred years ago and earlier (including eating meat) we'd all be a lot healthier. It's not meat that's the problem.",guy,0
sure eliminate capital gains and tax it as regular income. Also except for legitimate business costs eliminate other loopholes and make deductions like the home interest tax means tested. But I'm sure that's not what any of the rich folks have in mind.,capital gains,0
"I don't think we are covering any new ground here, the Republican's plan to balance the budget is likely to consist of a lot of flag waving, wrapping themselves in the Constitution and perhaps a new Pledge and little else. It could be worse, they may want to do something really dumb like cut taxes even more or try to start another war. First of all they don't have the votes and under 8 years of Bush the problems just got worse.",republican,1
"Moving the U.S. Embassy to Jerusalem is a way to tell the Palestinians that compromise is necessary if they want an independent state. Ever since 1947, the Arab world has rejected an independent Palestinian state because it has not been willing to recognize facts on the ground and make necessary concessions. Never before in history has there been an independence movement that rejected a state of its own because of a boundary dispute. There are close to 500,000 Israeli Jews living in Maale Adumim and other areas around Jerusalem. Israel cannot move them away kicking and screaming--as it did with settlers in Gaza. The Arab world has to stop making statements like the Three No's of Khartoum, which happened in 1967, and the refusal of the generous agreement that Clinton negotiated at Taba in the last moments of his presidency. Moving the Embassy to Jerusalem will tell the Palestinians that they have to compromise.",the u.s. embassy,1
"An Iran with nukes would disrupt Israel's cruel and outrageously exercised Mideast hegemony. Israel has ICBM nukes and threatens Iran's very existence, actually campaigns for war against Iran. We must withdraw all sanctions and compensate Iran for damages from the $$ Billions we will no longer be giving Israel annually. American foreign policy must again serve American interests, not AIPAC or the Jewish state's paranoid pursuit of invulnerability, territorial conquest and apartheid empire in, and beyond, the Mideast.",israel,0
"Israelis would become the minority in a single state, subject to whatever retributions desired by the majority Palestinians. Palestinians would remain second class citizens by virtue of the Israelis having developed both a wealthy economy and having developed and controlled both the modern infrastructure, businesses, and public institutions. The Palestinians would have to be given much of what is in Israeli hands and help them to learn how to manage it and money to support the transition from taxes upon the more well to do (Israelis) to achieve equality in a single state. That's a lot of potential pain and loss for Israelis in a single state.",isrealis,1
"""What is it about a good football team that exerts such a pull on alums? Why...would sophisticated erudite people invest so much emotion in the outcome of a game played by...20-year-olds? (Because)...we are bonded by common experience, and when the attachment originates with our school, the effect is powerful. We want to exult...in that feeling that comes with being part of a successful 'tribe'. A sports team represents everyone in the group, and serves as an agent of togetherness. Doesn't matter what your politics are, or where you're from, or what your job is--everyone can stand shoulder to shoulder and cheer for the Cardinal...We care, more than we usually want to admit, about what happens when those 20-year-olds take the football field on our behalf every Saturday. For those few hours, they are us and we are them."" From ""Stanford"", a publication of the Stanford Alumni Association, November/December, 2011 My sentiments, precisely.",football teams,1
"""It is unworthy of excellent men to lose hours like slaves in the labour of calculation which could safely be relegated to anyone else if machines were used."" Gottfried Liebniz I looked that up on the internet. It took about 15 seconds. Would it be more beneficial had I gone to the reference section of my library? It is worthy to spend one's time sorting, organizing, analyzing and synthesizing information, unworthy to just put in time.",machine,1
"Almost every other large nation that I looked up has a capital gains tax of 20% or more, and many other countries levy additional taxes for their social safety nets. The IRS still taxes US taxpayers on foreign investments, but allows credit for any taxes paid to a foreign government. In other words, unless they imitated the Facebook guy who renounced his US Citizenship, investors have been paying taxes on foreign investments all along. Given that most corporations are multi-national businesses, very few investors are putting money into purely foreign companies. As far as the impact on development and the job market, demand and growth opportunities have much more to do with where investment money goes than nominal differences in capital gains taxes. Slashing capital gains taxes just doesn't magically create jobs. We've had 30 years to figure this one out.",capital gains,0
"The key question here is not ""are polygamists deviant?"" The key question is whether ""child abuse and exploitation of women are not inherent in polygamy,"" as the author states. Professor Banks, can you site a single existing or historical example of a society that allowed polygamy but wasn't patriarchal or didn't exploit women? You can't, because there aren't any such examples. Every shred of evidence, present and past, shows that child abuse and exploitation of women ARE inherent in polygamy.",polygamy,0
"Of course individuals with dual citizenship can be model citizens, that is until the policies of their two countries conflict. Those things don't normally happen for most people, unless they work for the government. My wife had dual citizenship, but when she began working for the U.S. Department of State she was asked to renounce the non-US one in order to get a security clearance. Back in my military career, it was common for foreign nationals to enlist, but hey did not get a Secret clearance until they became U.S. citizens and renounced their birth citizenship. That clearance was critical to becoming a non-commissioned officer or commissioned officer. Maybe the Congresswoman found out she would also lose her clearance if she kept here non-US citizenship, and that would put her seat on the House Select Committee on Intelligence in question. Just guessing there, but I wouldn't want anyone with dual citizenship - and therefore assumed dual allegiances - on any Congressional oversight committee, especially one with access to U.S. national security intelligence. Not saying the Swiss are our enemies, but I'd like a hard line drawn that is the same for the Congressional hierarchy and us lowerachy.",dual citizenship,0
"Another issue is the over-prescribing and under-monitoring of opioid drugs. These have been shown to be 'the gateway' for many people to serious addiction. If marijuana were a 'gateway', then tens of millions more Americans would be suffering much more severe consequences.",opioid drugs,0
"Hey kids, let's gang up on the Jews again. Watching the Palestinians giving out sweets to their kids on 9/11 only shows what we may be in for if there ever is a Palestinian state. Or, give them a part of Iraq. They will fit in nicely with ISIS.",a palestinian state,0
I suspect the real world performance of these batteries will be less than advertised. How will the Leaf do on a 95 degree summer afternoon in Houston with the a/c going full tilt and you are stuck in a freeway traffic jam for 90 minutes which frequently happens in all large cities? How will the Leaf do on -35 degree winter morning in Minneapolis and your commute is 25 miles each way and your place of work has only outdoor parking where the battery will remain well below zero and there is no recharging facility? Battery technology for the most part is stuck and until a breakthrough occurs in this area EV cars are a tiny niche.,batteries technology,0
"Mr. Jaffe seems to be confusing three very different situations. Parents of minor children already have the right to know what is going on with their children's care. And people who have been appointed as legal guardians (conservators of person) also have this right; naturally, that includes parents of adults who have been judged incompetent to manage their own affairs (in probate court), unless someone else (such as a spouse, adult child, lawyer, or physician) takes that responsibility. Done deal! The third case is that of an adult who suffers from a mental illness but has not been found legally incompetent. That person has exactly the same rights and responsibilities as anyone else. Of course one's doctors, lawyers, accountants, priests, and (for that matter) barbers do not communicate with our parents about one's decisions! Why should they? Mr. Jaffe seems to think that we should have a new law that would sidestep the need to establish that a person is, in fact, psychiatrically disabled. That is a dangerous road indeed.",parent,0
I am curious to know what the effect would be on the economy of doing the exact opposite. Make labor income taxes very low and capital gains very high. No one has ever talked about this. Maybe because it would never work? I really don't know but would be curious to learn.,capital gains,0
"I think if doctors spent more than 5-10 minutes in a room with a patient, the patient would feel more comfortable that the doctor understand their history and symptoms adequately. Doctors must remember that most patients have no idea if a fever or rash is a simple virus or meningitis. I have found sites like Mayo to be very helpful in figuring out when not to call a doctor for my kids for various normal symptoms. Of course it would be best to check every time, but you can't make a doctor's appointment for every twinge. On the other hand, the internet was very helpful in successfully diagnosing myself with cholestasis during pregnancy, and my doctor was extremely reluctant to order the tests and it turned out I had it quite severely. While I am not perfect, I have experience reading journals and understanding statistics. Other people may not be as aware or able to understand trustworthy vs. untrustworthy sites. There are many problems with the internet, but you can't combine limited access to doctor with 100% ownership of information of your patients bodies.",doctor,1
"The search for information on the internet about illness and symptoms may not only yield interesting info for the patient, but for the physician as well. I recently had an appointment with my physician and he began our encounter by asking me what I found when I googled my symptoms. I realized that this was brilliant on his part- not only did it give me the opportunity to run by him all of the fears I had concerning my symptoms but it also revealed to him symptoms and concerns I had that I might never have otherwise been raised during a more usual encounter. My internet search did not replace our give and take as patient and physician- it enhanced it.",illness,1
"""...Facebook gets a bad rap; it didn't cause the cheating. It just made it more convenient to do (and perhaps easier to catch)."" Hmm, call me crazy, but Facebook shares some of the responsibility -- does it not? It's like refusing to assign blame to gun dealers and drug dealers. They increase accessibility to illicit materials, which essentially furthers the end goal of usage. Now, this isn't to suggest that Facebook is entirely at fault, but it does play an active role.",facebook,0
"As someone who attended an elementary school which received TFA teachers and as an 'elite' college graduate who saw classmates fight for spots, I have mostly contempt for Teach For America. However, I see that one thing that high flying elementary education systems around the world have in common is that teaching is a prestigious career that the top college students fight for. Look at South Korea. If TFA starts America along that path, then I suppose it can be endured.",teach for america,1
"It is the role of government to create laws and regulations, and also to enforce them. I understand the VW situation was an example of incompetent policing or enforcement. The problem was not the standards did not allow unsafe air, it was incompetent or ineffective enforcement. I have heard that same is true with Guns laws, in Chicago, mainly that they are strict but not well enforced. We similarly have laws against illegal immigration that are not, in my opinion, faithfully executed. Part of the rule of law is not simply having laws and regulations, but effectively enforcing them. Shame on VW for violating emission requirements, and shame of those who develop that testing standards for not catching this. Why don't they do more extensive emission tests separate from individual car inspections so this type of thing does not get missed.",law,1
"""Spending so much time and ink on who owns high end residential real estate and the legal form in which they own it is a needless distraction"" But these owners are committing graft and serious crimes around the world. Sure, maybe they pay for a lot of firefighters, but that doesn't mean they aren't criminals laundering money through real estate. Of course, it's good business to work in real estate when you get to see a taste of millions of dollars of ill-gotten gains without having to take any responsibility. It's a waste of time and ink to make facile arguments like ""these criminals pay for the services, so they must be ok"". The Times reports are time and ink well spent.",real estate,0
"Reviewing recent press articles discussing corruption, bribes, and other nefarious activities to rig the political system, I am struck by how inexpensive our corrupt politicians actually are. Apparently several political leaders were willing to sell their votes and offer their influence for a bribe in the amount of $7,500, other bribes were in the range of $10,000 - $20,000. Don't these fellows have any self-respect? Couldn't they at least hold out for a six figure sum? Yes, corruption in politics is distasteful, and of course, illegal. But who will have any confidence in corrupt politicians who sell themselves so cheaply? Please, people, shouldn't we value our politicians more highly, even the corrupt ones?",bribe,0
"Until 9/11 our country was almost universally regarded as a one that offered justice for all. It is part of our slogan, it was a recruiting point for Americans-to-be. Then fear and revenge and politics showed what a thin veneer our principles were. The drone strikes, with their extra-judicial nature, confirm that, especially the double strikes killing rescuers. I dread the day when the first foreign drone strikes in the US - clearly a legitimate act of war in response to what is not even necessarily a legitimate grievance, requiring only a suspicion of guilt, given the manner in which we use them (after all, if we do it, it must be legal). Such an attack could, by the standards we use, be justly mounted by families of civilians wrongly killed by our drones. I fear the day that the first US drone strike occurs here (if they are so effective at saving soldiers' lives, they will also be effective saving police lives). I look forward to the day when the Americans behind these strikes, including two presidents, are on trial in the Hague.",politics,1
"Tell the surviving family members of the quarter million Syrians killed by Assad with Iranian troops, arms and money, that Iran is not a threat. Tell that to the U.S sailers who were seized and humiliated in violation of international law. Tell that to the hostages just released from Iranian dungeons. Tell that to the Saudi Ambassador who was targeted for assassination in Washington D.C. in December of 2012. Tell that to the Israelis who face endless missiles Iran supplies to terrorists. There is no country in the world working as hard to sow violence, terror and hatred as is Iran. Intellectuals safe in their ivory towers may not understand this, but normal people do.",a threat,0
"Let's see: a politician; his state stands to benefit directly; he's in the VERY opposition party; the issue is oil/environment/regulation/prices/national-security/trade-deficit and he's a 21st century republican; he's talking about long-term and fossil fuels - not to be taken seriously. And just to be clear, Mr. Rep., it is republicans who every time the oil price rises, fan the flames of armageddon, including national security (sic) and the trade deficit, to support more drilling, despite evidence each time from the studies republicans commission that drilling here can not affect any of these significantly. The low hanging fruit in lowering demand, however, can have a greater effect sooner and not hurt but rather help the economy, except for the oil industry and their lackeys, and benefit in many ways that republicans don't care about (health, environment, technological edge).",drilling,0
"Local schools are financed almost exclusively without federal tax dollars. Therefore it does not make sense to offer a tax credit for home schooling from federal income taxes. If individual states or local governments want to offer tax credits or other incentives for home schooling, that would be appropriate, since it is mostly from state income or local property taxes that most schools are funded. In my opinion, though, they shouldn't. If you offer tax credits to home schooling parents, surely you will also want to offer tax credits to parents of private school students, and families with no school age children too, for that matter. By the time you are done, you don't have tax credits any more, you essentially have an additional tax paid only by families with children enrolled in public schools. Why not just get rid of public schools all together and only have private schooling?",tax,0
"My 4 children & I are all dual citizens of Canada & the US. It seems an ideal arrangement, as they & I balance the great opportunities in the US vs the great benefits (free health care, great affordable higher education, stable economy, banks, etc.) as well as opportunity in Canada. I & they can choose whichever course/country seems best. Meanwhile, we are each happy to support (with taxes) whichever country we are living in.",dual citizens,1
"No, do not end capital gains tax. Limit capital gains treatment to the first $100,000. Everything about that is taxed as ordinary income. Then we don't need to raise the taxes on the ultra rich...they will simply have to pay the taxes they are supposed to be paying now. and we wouldn't have the Warren Buffets or Mitt Romneys paying 13% in taxes while the poor grunts who have to actually work for a living and barely scraping by are paying twice that percentage.",capital gains,0
"Better yet, stop calling them refugees and start calling them for what most of them are: illegal migrants. A spade is a spade is a spade and not a hammer. And start treat them for what they are and apply existing laws. Labelling them refugees is one of the pillars for the hatred between Europeans, who usually take in those who really need help with no questions asked, and those who are on a migration trip into social security systems that have been paid for by those stupid infidels. A sort of Dhimmi tax.",europe,1
"And do, I a parent who does not think the public schools are right for my kids get a tax break on private schools? What is the difference? If states want to provide a curriculum and resources to families in the state to use for education in lieu of public schools (as one commenter seems to suggest Alaska does) that makes sense to me. A tax break: no!",tax breaks,0
"Some of my best students--bright, knowledgeable, committed--wanted to teach for America. I advised them against it. They did not have experience. Schools deserve the best teachers possible, especially in challenging schools. Being a good and effective teacher requires years of training and then continuing education,, not just in one's subject, but also in pedagogy, didactics, classroom management, organization, etc. Other countries train teachers much better and longer: they have years of specialized course work and then up to two years of assistant teaching. It pays off. Like the structural inequality that finances schools through property taxes, teacher training in the US is vastly uneven and thus perpetuates social inequality and hinders economic progress. We need uniform standards across states, equal funding for all schools, and a better education for educators.",teach for america,1
"When I observe that admission standards and courses in ""college"" leading to a BA have slipped to a level sometimes lower than a good suburban high school in the 1960's I shudder. 1. Our K12 education could contain a much higher level core curriculum and fostering of critical thinking and self learning BEFORE high school graduation. Of course, the students would have to be willing to actually perform and not all would get into the upper 10% of the graduating class, but the general level of graduates would return to something substantial. 2. Post secondary training and ""college"" need not be the same thing. In Europe there are post secondary opportunities to learn trades, many business skills, even things like working in the travel industry(think hotel management, package travel planning). 3. Diluting something like the standards of a university system to allow for more and more ""remedial cases"" is not doing anyone a favor. Offer post high school training at a multitude of levels. 4. Expect more from industry than just ""we want workers ready to start tomorrow"" - bring back the training programs and apprenticeship programs that build good and loyal workforces.",admission,0
"The gambling industry is an entirely predatory exploitation of human weakness and greed. The mathematically challenged are exploited with the false hope of riches while our communities are stripped of vital economic resources. Far better we tax ourselves fairly to promote industry, rebuild our infrastructure and educate our population and provide universal healthcare than to support these entirely regressive enterprises.",gambling industry,0
"discussions like this are largely moot. the early states into the recreational market have surfaced and are working to solve the various (relatively minor) social consequences of full legalization; nationally, the social acceptance of fully legalized marijuana is increasing annually. as with other liberal trends of the past several decades, the outcome here is clear: eventual full legalization in most states. the drag here is federal drug and banking policy, which is sustained by conservative congressional sentiment. so what? another decade of laissez aller executive orders by a democratic administration will make it clear to everyone that there is very little to fear from marijuana the psychotropic -- once the problem of marijuana the illegal product is eliminated.",marijuana,1
"Just what we need in this country, more recreation areas for the rich. Let's make sure the fees are raised enough to keep out the riff raff. Then we can put in an airport for the private planes of the rich. Hey, how about a Trump Tower in Yosemite? I'm sure Donald would go for it.",the rich,0
There are a lot of reasons that revenue stays in the US regardless of the tax rate on capital gains. The stability of the government and protections from governmental nationalization are one large reason. The military strength of the country eliminates the thought of a takeover which would change potential ownership of ones own wealth. This is why the rich periodically call for amnesty (money not immigration) to bring their foreign wealth home to the US. That is because it is safer here. The rich's desire to return to feudalism where the poor carry the full burden of Government expense. Why is interest and dividend income less taxable than a workers paycheck? We fight many of our wars to protect the investments and projects of one or another rich group or company. It only makes sense that the rich contribute to the upkeep and maintenance of the country. I guess it really is hard to appreciate a five star meal when you know the poor are still eating something. It just isn't that satisfying.,capital gains,0
"How can a person with the intelectual maturity of Ms. Bachman have been a candidate for president of the U.S.? It seems that most who wrote about this subject have only U.S. citizenship and therefore do not live and feel what dual, or multiple citizenship, is all about. Can you love your mother, your wife, your daugher without feeling unfaithful or a traitor? I have dual citizenship and I know how I feel about both countries: The one where my parents and family lived and struggled, the one of my culture, my music, its poets and writers, its cuisine, its beautiful topography and so much more, but also with some very negative things and the reason why I left. And now I have the one that welcome me, that gave me an oportunity for a better life, for safety and secutiy, for multidimendional growth. Can any one of you give me a good reason why I should swear off either one? And if this is what you are thinking, I'll take take of the wounded on either side.",dual citizenship,1
"Du Pont's statements are pure poppycock. If there is a causation correlation, it is in the fact that people have to buy marijuana from a dealer--who also sells other drugs. Other than genetic disposition, that is the only correlation. How did this guy get on a New York Times panel?",marijuana,0
"I went to an art event this Summer, and over the course of the evening, each of the three women I wished to meet was walking down the street in the midst of the crowd, staring down at her Iphone, oblivious...",art event,1
"I, too, qualify for Irish citizenship. The only problem I have with it is my shared experiences are American. I am more like italian catholic jewish indian bostonians houstonians than anyone in Ireland, though Ireland be the source of wit and stoicism, etc. When I traveled extensively, I felt it wrong to be 'Irish.' I do love things Irish- music, poetry etc--but I am American. Our citizenship is precious. So, is Irish citizenship. Apart from vanity, I had and have no reason to have the Irish passport, nor does Ms Bachmann, a would be President",american,1
Whenever I came back from camp my parents always looked 10 years younger to me. Even as a kid I could see the effect. They didn't necessarily go somewhere every time but they probably just enjoyed having some alone time without me.,parents,1
"What was the voter's intent in Michigan, California, and Florida? Was it to replace overt racial preferences with similar but less transparent and complex racial preferences? No. It was to eliminate racial preferences. PERIOD. How is this not clear? Those here who openly discuss and plan to subvert the will of the voters based on their personal ideology is a disgrace to our system. You've been ordered by the voters to stop this, so stop it. Now. I support the effort to give any child with distinct socioeconomic disadvantages the pathway to a college education, but I don't support it as solely a means to an end to implement the same racial preferences that were just banned.",vote,1
"We live in a society where the criminal charges that a defendant faces and the likelihood of conviction depend very strongly upon how much money the defendant can spend for legal representation. As long as that remains true (and it is true), Roger Clegg's argument remains invalid. There are very many poor people in prison for non-violent crimes that were prosecuted while the defendant was too young and too poor to pay for legal representation. Many of them would not have been convicted of felony crimes if could have afforded a competent attorney. Thus, the blanket denial of suffrage for all felons cannot be justified.",felons,1
"Here's some over-regulation to an absurd degree. There may be legitimate reasons for de-clawing. A responsible pet owner and a competent and compassionate vet should be left alone to make the right decision for each animal. If the pet owner is irresponsible and the vet is not competent, then there are way bigger problems at play than claws. Doesn't our legal system have enough to do without this nonsense?",pet,1
"Nah. Most of our driving is only short distances. Spur of the moment decisions to go from SF to LA only happen in the movies. Look at golf courses and retirement communities. The electric cart has almost completely replaced the old gas cart. Sweet quietude and fast charging stations make the difference. Soon no body will want the smelly, costly, breakdown prone gas guzzlers that Detroit wants to make. As used cars they will soon be all junk while electrics sail along and along and along.",electric cars,1
"How many Muslims have been killed in terror attacks so far in the us -Zero but how man americans have been killed in Islamic terrorist attacks so far not sure but around 3,500-4,000 and that not counting the arm forces over seas who are killed by terrorist bombings.",terror,0
"Mr. DuPont focuses on the wrong gateway. Accessing marijuana through the black market provides a gateway to other illegal drugs through that same market. Washington state has legal marijuana stores, but, just like the stores here that sell alcohol, you will not find heroin, cocaine or methamphetamine next to it on the shelf. Also, marijuana use was pervasive in Washington state well before it was legalized and arrest, incarceration and criminal records destroyed the lives and futures of far more people, especially young black and hispanic men, than smoking a bit of weed. The reason that marijuana was legalized is because it was simply impossible and impractical to continue ineffective and expensive prohibition. It is a practical solution aimed at harm reduction and closing the gateway to other illegal drugs.",marijuana,1
"This nation was born largely because of a rebellion against taxation without representation. So: if an entire class of citizens is going to be disenfranchised, then it seems to me that they should also be exempted from paying taxes. Fair's fair.",taxation,1
"I can have all sorts of long and short term capital gains within my regular IRA and tax rates on them are bupkis until I either roll over money to a Roth or withdraw from my IRA - which money (including gains) is then taxed like regular income. Conversely, gains in a mature Roth IRA aren't taxed when I eventually draw down from that account. Personally I would protect capital gains, dividends and interest held in retirement accounts from any taxation - and tax those outside IRAs and 401Ks at regular income rates. Interest earned on FDIC protected savings accounts of $250K or under (the account balance, NOT $250K in interest) should also be exempt, and above that fully taxable. This would protect middle class savers should they ever actually see interest beyond pennies in their accounts.",capital gains,0
"In 1959 or so our family took an epic car trip around New York State and Connecticut. My brother, sister, and I still talk about that trip - good memories. My wife and I always took our kids on vacations. We all had a great time and I hope that their memories of these trips is as fond as ours are. Now that they are grown up and on their own, we have the time (and money) to take trips by ourselves. My dad always wanted to drive cross country with us (or to conserve time, to fly to Denver and drive to California). Because money was tight, we never took that trip. At the end of his life, one of his only regrets was that we never took that drive as a family. ""In the long run, the cost was nothing - but think of the fun we would have had!""",drive,1
The vast majority of heroin users started with prescription drugs which were never meant to be used as maintenance drugs in the first place.. We're still having this dumb debate in 2016.. Statistical gerrymandering... and no one falls for it anymore,heroin,1
"Why would anyone think that judges are kept out of politics? On many state or country levels they are flat-out elected. The ones who are appointed are often on the receiving end of political reward. Even Federal appointments are political footballs these days, note wellhow many of Obama's picks have been hung out to dry. The grilling that any SCOTUS nom gets is patently political, too - note well McConnell saying that any SCOTUS judge has to pass approval of the NRA. It is imaginary to think that politics are not involved with the judiciary.",judiciary,0
"This is the old race to the bottom argument: ""If only we had the most business friendly practices, capital would flow to our country."" I, for one, am not having it. If a business is a good investment, a reasonable tax rate is no barrier to investment for a smart investor. By Mr. Miron's argument, we could attract even more capital by paying people and businesses for investing in America, essentially make the tax rate negative. Wouldn't that be grand? Paying the rich to invest in their own country?",race to the bottom,0
"Innovation, a concrete concept, was once linked to Progress, an abstract concept. This is no longer the case. We live in a world in which the main goal of innovators is to disrupt our lives by forcing us to by new stuff. As Edward Abbey said, ""Growth for the sake of growth is the ideology of a cancer cell.""",innovation,0
"Classic Bayesian inference error. If A then B is not equivalent to if B then A. But it worked for Johnny Cochran in the OJ Simpson trial, who (correctly) argued that the percentage of verified wife beaters who go on to murder their wives is very, very small, but also ignored the fact that the percentage of verified wife beaters whose wives are then murdered and who are guilty approaches 100%.",classic bayesian inference error,1
"I'm deeply concerned but not amazed of the comments of Mr. Montaner. So far Cuba is no longer in the Soviet Union orbit and there's a lot of change in the government's behavior since Fidel Castro is no longer in front of the executive of the Comunist Party. I think Mr. Montaner should pay more attention to the latest polls in the UN against the embargo, the solidarity of the cuban doctors, and the progress and investments a lot of countries are taking inside the island, if america doesn't take this chance to lift the embargo he will pass thru history once again as the could-have-done but-never-did disappointing administration of Mr. Obama.",cuba,0
"Ms. Maryann Keller has no awareness of social accounting. Her logic is based solely on a dollars and cents, profit and loss mentality. If she would factor in the savings in health costs from pollution eliminated and political advantage from elimination of middle east oil dependence perhaps she might see the light.",oil dependence,0
"I'm amazed that so many of the comments on this piece seem to be comparing the usefulness of cursive to other forms of handwriting. I think this ignores the larger point, which is that hand-written print is largely dead outside of school. Any significant time spent learning or practicing handwriting instead of, say, critical thinking skills or grammatical structure is wasted in my opinion. Today's students are not going to write on the job. They're going to use a computer. And if anything we should be spending *more* time teaching them to use said computer instead of learning how to write things long hand--a skill which they will never use.",cursive,1
"How ironic in which for decades now companies have been moving their manufacturing to low wage off shore locations to boost their profits yet they feel it necessary to attempt to legally inhibit an employee from moving on to a a better opportunity with another organization? Quite laughable when you think China, in particular, has paid little attention to patent rights and intellectual property, let alone their ongoing attempted hacking of American corporate secrets, yet, these companies remain there. If a company insisted on me signing such a questionable agreement, it is time to look elsewhere. The hypocrisy here is beyond the pale.",company,0
"All the people who decry inequity and blame the 1% for the country's ills ought to focus on eliminating gambling. The participants are generally poorer, less educated, and perhaps unaware of the odds. Why should the state sanction this type of activity? Liberals (and some conservatives) love gambling because it is a new hidden tax. The money rarely has much impact on what it is sold to help. ""All the money goes to education"" means whatever education gets from the lottery the state reduces in other aid. Suddenly new money to spend on winning votes. If you care about inequity, start with limiting or ending gambling!",equity,0
"""It would be similar to pushing back the outfield fence in baseball, and nobody wants to see fewer home runs."" Right on one count, wrong on the other. Hey, I know, let's lower the rim so everyone can dunk. Then it'll be even better, right? The assumption that fans are too stupid to appreciate nuance is why modern basketball is a dunking contest, modern baseball is a home run derby, and I've lost my patience with both. I can't be alone.",rim,0
"It gets worse - far worse - for those people who make deliveries. It is extremely hard - if not impossible - to convey to a customer that a ""delivery charge"" is not a tip, especially when the vendors used to promise ""free delivery"". Greedy shop operators take their cut off the top. Drivers need to be paid for the use of their vehicles but often do not get enough from the owners to defray those costs. Often, too, the delivery people get compensated at the same paltry rates as inside wait staff - with the implicit inclusion of a certain gratuity amount to even meet the minimum wage.. An educated consumer will ask: ""Does the delivery charge include your gratuity and the costs you incurred using your vehicle to get here?"" An educated consumer should be anyone who orders any food to be delivered to his door. An educated consumer should be empathetic to the person who hands him his food at the door and, consequently tip as much as he can.",delivery charges,1
"The idea behind TFA is that simply a high GPA from a prestigious university will make one a great teacher. Anybody can do the job. Ha! Within two to three years, the majority of TFA are looking for any way to get out of the classroom. Some of the more notable failures, such as DC's Michele Rhee, then can parley their brief unsuccessful experiences into becoming superintendants of major school districts. This is called school reform.",tfa,0
"There isn't enough Lithium, nickel and other minerals to manufacture the volume of batteries they are talking about. Any day now they'll be a lithium cartel forming in the image of OPEC and we'll be in the same bad situation. Hydrogen is the best solution. Talk about the lack of infrastructure for Hydrogen is just defeatist nonsense designed to maintain the status quo for the good of those who profit from it. Nobody used the lack of public charging stations or the lack of infrastructure for disposing/recycling used batteries as an excuse to stop the Batteries. In a decade we transformed the landscape with cell towers and converted our society to a mobile one and we can do the same with Hydrogen.",hydrogen,1
"There is far too much intellectual relativism being discussed in this thread. What was once considered to be valuable to intelligence is not exactly the same now. We need to get over this idea of ""well, my kids do not even know all the state capitals!"" Of course they don't. There is no need to know something off the top of your head in an age when you can look it up instantly. The information that is ""vital"" to a person's intelligence is directly related to what they need to know to function well in their field. I teach English, I know nothing about welding. A welder may know very little about literature. Is one of us smarter than the other?",intellectual relativism,1
"There is no economic argument for taxing income differently, depending on its source; income is income. Such arguments as we typically hear are theological debates, whose partisans hope to pave their way to a personal vision of heaven. The double taxation argument is groundless; in the first case there are many other examples of double taxation, and in the second empirical evidence does not support conservative claims about disincentives. One could also argue that the tax on labor is a disincentive to work, but for some reason that seems to have less traction - could it be because wealthy people - whose right to speak more loudly than the rest of us was recently codified by the Supreme Court - are less concerned about it? From a strict economic viewpoint, all income should be taxed equally. This would avoid the huge incentives - and wasted, non-productive investments - in gaming the system, that firms and investors routinely make. The opportunity costs of those activities are literally mind boggling - but never discussed.",taxation,1
"What are these "" certain standards of responsibility and commitment?"" I can only recall an age requirement. And why is it that conservatives always want a big government program to restrict individual liberty? Any idea of the cost providing each ex-con a review to determine if they have reformed enough to vote? People even current convicts should be allowed, yea encouraged, to vote or we do not have a democracy.",convict,1
"""Establishing it as a third legal drug, along with tobacco and alcohol, will increase drug abuse, including the expanding opioid epidemic."" Well, if the problem is that legalizing Marijuana will make for three legal drugs...then why don't we make tobacco illegal, or alcohol. Both of those drugs have vastly more deaths attributed to them than marijuana ever has. Hate these scare tactics.",scare tactics,1
